flightID,missionName,drone,dataType,scale,gpsSource,sensor,resolution_cm,overlapSide,overlapFront,nFlights,dateFlights_ymd,dateAligned_ymd,pointCloud,dsm,ortho,useAnalysis,lauchPoint,flightDirection,weather,postSoftware,issues,notes,contributors,labPI,contact
6/26/15,,Penguin V2 fixed wing,RGB,full,drone,Canon PowerShot ELPH 520 HS,18,0.38,0.77,,"2015-06-26, 2015-06-27, 2015-06-28",NA,0,1,1,1,,,,,,unsure of exact side overlap,,,
,,,,,,,,,,,2017-??-??,,,,,0,,,,,,there was a flight this year but the data are off. Unsure if this row should be kept,,,
6/14/18,BCI_whole_2018_08_25_EBEE_dipteryx ,eBee senseFly,RGB,full,drone,S.O.D.A.,13.85,0.77,0.77,12,"2018-06-14, 2018-06-21, 2018-08-25",5/15/23,1,1,1,1,,,,,,,,Helene Muller-Landau,
6/19/19,BCI_whole_2019_06_27_EBEE_dipteryx ,eBee senseFly,RGB,full,drone,S.O.D.A.,14.39,0.77,0.77,18,"2019-06-19, 2019-06-22, 2019-06-24",5/15/23,1,1,1,1,,,,,,,,Helene Muller-Landau,
7/31/20,BCI_whole_2020_07_31_EBEE_dipteryx,eBee senseFly,RGB,full,drone,S.O.D.A.,14.34,0.77,0.77,17,7/31/20,5/15/23,1,1,1,1,,,,,,,,Helene Muller-Landau,
6/29/21,BCI_whole_2021_06_29_EBEE_dipteryx,eBee senseFly,RGB,full,drone,S.O.D.A.,14.32,0.77,0.77,11,"2021-06-29, 2021-06-30, 2021-07-01",5/15/23,1,1,1,1,,,,,,,,Helene Muller-Landau,
7/21/22,BCI_whole_2022_07_21_EBEE_dipteryx,eBee senseFly,RGB,full,drone,S.O.D.A.,14.19,0.77,0.77,14,7/21/22,5/15/23,1,1,1,1,,,,Metashape v2.0.1,,,,Helene Muller-Landau,
2/26/23,BCI_whole_2023_02_26_EBEE_jacaranda,eBee senseFly,RGB,full,drone,S.O.D.A.,14.28,0.77,0.77,19,2/26/23,5/15/23,1,1,1,1,,,,,,,,Helene Muller-Landau,
3/16/23,BCI_whole_2023_03_18_EBEE_jacaranda ,eBee senseFly,RGB,full,drone,S.O.D.A.,14.18,0.77,0.77,26,"2023-03-16, 2023-03-17, 2023-03-18",5/15/23,1,1,1,1,,,,Metashape v2.0.1,"There were 3 total flights, one each on 16, 17, and 18 March. There was a lot of overlap between the flights, with multiple images repeated. Vicente said that when he originally processed this flight, he manually chose which images to keep (i.e. just the first day). Ian followed a similar path to Vicente and manually used the following images. However, the output orthomosaic doesn't quite match the extent of the original ortho (especially the western edge).
16 March: EB-03-06293_0109_0001 - EB-03-06293_0121_0073 consecutive
18 March: EB-03-06293_0136_0069 - EB-03-06293_0136_0118 consecutive + EB-03-06293_0135_0082",,,Helene Muller-Landau,
5/15/23,,,lidar,full,,,50,,,1,"2023-05-15, 2023-06-15",NA,1,1,1,1,,,,,,dates are inclusive,,,
